parid,elev
6261431,20
3405978,10
3393457,5
4827692,20
3108230,20
3392876,5
3405978,10
3107705,20
3109309,20
3107705,20
4826424,20
4827617,20
3111605,5
3571363,20
3506855,5
3571339,20
3405854,10
3506383,5
3506791,5
3506383,5
3111842,5
3505212,5
3113543,5
3111516,5
3408683,10
4827552,20
6647071,15
3394283,15
3406184,10
3431260,25
3407032,5
5631664,30
3427599,25
3423046,25
3426924,25
3427564,25
3427564,25
3394747,15
3425847,5
3427157,5
4537309,5
3574770,30
3394542,15
3428498,25
5569942,20
3394356,15
3394356,15
5832732,20
3428714,25
3432924,25
4537163,5
6802831,15
3431537,25
5491021,15
5491021,15
6802831,15
3532490,5
4988823,25
3532503,5
3532619,5
5489396,10
6615845,10
6615110,10
6647003,15
6535566,15
6615772,10
6534161,15
6615080,10
6533628,15
6616523,10
6533121,15
6615616,10
6615781,10
6535124,15
6615705,10
6532656,15
6533997,15
6003149,15
6532605,15
6003131,15
6532613,15
6533725,15
6532907,15
6614849,10
6532907,15
6532893,15
6005150,15
6534543,15
6534543,15
6005320,15
6535353,15
6615527,10
6534292,15
6002983,15
6002479,15
6004790,15
5832783,20
6615314,10
5388271,5
5491064,15
5631796,30
5630994,30
5629830,30
5630277,30
3107411,20
5629783,30
3573897,25
5630510,30
3428439,25
3433742,25
3431715,25
3544552,10
3431171,25
6596611,5
6412383,20
6668809,15
3431014,25
3431014,25
3431006,25
6291276,20
3107403,20
3108299,20
3432746,25
3394496,15
3107322,20
3106679,20
5568768,20
6291381,20
3432762,25
5755584,20
5756173,20
3432096,25
3394623,15
6670552,25
3432452,25
6670552,25
6617554,20
5759946,20
5759164,20
6092397,10
3432452,25
5759164,20
3432452,25
3101626,15
3103254,10
3432053,25
3283236,10
3283279,10
3428081,25
3283376,10
3275853,25
3394151,10
3283384,10
3434170,25
3432266,25
3433076,25
3133129,15
3432975,25
3112059,5
5049116,25
3276124,25
3575741,10
3394232,10
3394178,10
3394178,10
6276391,10
6276391,10
5569870,20
3544617,10
3276248,25
3140206,10
3140206,10
3139321,10
3139747,10
3282906,10
3139704,10
3139151,10
3139917,10
3139721,10
3541511,10
3541448,10
3282949,15
5654770,20
3139275,10
6505802,10
6668914,15
4999205,20
3105966,15
6723753,15
3105770,15
3110081,10
3283139,10
3105591,15
3110021,10
6749078,15
6312770,20
3105729,15
3105702,15
6312796,20
4712224,15
6796050,20
3105559,15
3105541,15
3406036,10
6796017,20
7574730,25
3406672,10
7574756,25
3406591,10
3406621,10
6749175,15
6749078,15
5275990,10
5276007,10
6749108,15
3405706,10
6716889,20
6716889,20
3392973,5
3112814,5
5257207,20
5256863,20
5992608,20
3532520,5
4996931,20
3532422,5
4533753,10
4589210,10
3392931,5
4589384,10
4533753,10
6029873,20
6030561,20
4626549,10
4626476,10
4626476,10
3291034,50
3392931,5
6030553,20
5830632,20
5830837,20
6596646,5
5830730,20
6668680,15
6668761,15
6668663,15
6596638,5
3392655,5
6668663,15
6668779,15
6668710,15
6750670,20
6750602,20
6769761,15
6668868,15
6668833,15
6802866,15
6802670,15
5654192,20
3387724,15
5347583,25
3411021,20
3411081,20
3411871,15
3420390,10
3421990,15
3411951,15
3425987,20
3433432,25
3433327,25
3434153,25
3412125,15
3394470,15
5568741,20
3433751,25
5569675,20
5569292,20
4999001,20
6252840,25
4998918,20
6291802,20
6260877,20
4808302,20
6412715,20
6612005,20
4807993,20
5756599,20
5756351,20
6261342,20
6261326,20
6261458,20
4997466,20
5756351,20
6557039,5
6261130,20
6260800,20
4895086,25
4895159,25
6260711,20
4895159,25
4996958,20
4895264,25
3466837,20
5587983,10
6069301,25
6616833,20
5488942,10
6616990,20
3406834,10
5587592,10
5587827,10
5586758,10
5489663,10
3466772,20
3407296,5
3407296,5
4537121,5
4536256,5
3428838,25
4537180,5
5587541,10
3430671,25
3431651,25
3432533,25
3428803,25
4718907,15
4718885,15
3432568,25
6292736,20
6291624,20
5488802,10
6291357,20
3506405,5
6292736,20
6292400,20
6292396,20
6556971,5
6413436,20
6557543,5
6556903,5
6556741,5
6556750,5
4989943,25
6556750,5
6557322,5
3108825,20
6556725,5
6557322,5
6557683,5
6557683,5
6557837,5
3108396,20
3108388,20
3112318,5
3108370,20
3107853,20
3108132,20
4994386,20
3393848,10
3107713,20
5491757,15
5918025,20
6542996,25
5656021,20
5916537,20
6261016,20
3433858,25
5918173,20
6292612,20
4536264,5
3108159,20
4717463,20
6312401,20
4717366,20
3571053,20
5346706,25
5760324,20
5346684,25
6418829,25
6550077,20
6616752,20
6780862,20
5264246,10
6671117,25
3392612,5
6556229,5
6556202,5
6550972,20
6671095,25
8001287,25
3433211,25
8001288,25
4797840,30
5702642,20
5639525,25
3542011,10
4543376,10
5638421,25
6671095,25
5638286,25
4700323,10
5639045,25
4739467,30
3432673,25
4705368,10
4753541,25
4754636,30
4754733,30
4784560,25
6670862,25
4793372,30
4796177,5
4796193,5
4796266,5
4796282,5
6670935,25
4796304,5
4797505,30
4797611,30
4811435,25
4811737,25
4811834,25
6670919,25
4812091,25
4811583,25
4811664,25
4812113,25
4811664,25
4812148,25
4817301,15
4811672,25
4812202,25
4817999,20
4812261,25
4818057,20
4818090,20
4812679,25
4812679,25
4817409,20
4812873,25
4818219,20
4814639,25
4818260,15
4818286,15
4818316,15
4817425,20
4814655,25
4814809,25
4820582,25
4818421,15
4820817,25
4828630,15
4886354,10
4886354,10
4817433,20
4828656,15
4886389,10
4828788,20
4886397,10
4894781,15
4895302,5
4886397,10
4817468,20
4895426,5
4895353,5
4895426,5
4895647,5
4895680,5
4895388,5
4895426,5
4817492,15
4932461,10
4942734,15
4971394,25
4992481,25
4992481,25
4987185,20
4992481,25
4987207,20
4817514,15
4992618,25
4992499,25
4992502,25
4992626,25
4992529,25
5005933,10
5008568,30
4817522,20
4992707,25
3392574,5
4992723,25
4992723,25
3392523,5
3392558,5
3392558,5
3393571,5
4817590,15
4999884,10
4718630,15
3393571,5
4989137,25
3391829,5
4817697,15
5256201,20
3392388,5
5256260,20
5256341,20
5256448,20
5256413,20
3392388,5
5263231,10
4817735,15
5151506,20
5263461,10
5364143,5
5350355,20
5257011,20
5353133,20
5257037,20
5489116,10
4817816,15
5388221,5
5489116,10
5491994,15
5388239,5
5569942,20
5388239,5
5631524,30
5586944,10
5569713,20
4817867,15
5587037,10
5629538,30
5639860,25
5629449,30
5702316,20
5702294,20
4817948,15
5629449,30
5702308,20
5629392,30
5631184,30
5753654,20
5631443,30
5759458,20
5631443,30
5631443,30
5916511,20
5631524,30
5151018,20
6092354,10
5759458,20
5917754,20
5917860,20
6252912,25
6029369,20
6251240,15
6029466,20
6252963,25
6292019,20
6418977,25
5189589,20
5759385,20
6549958,20
6549826,20
6291969,20
6549991,20
6549800,20
4998047,20
6617040,20
6312885,20
6312940,20
5759911,20
5189988,20
6312800,20
6312745,20
4990160,25
6313695,20
3104854,5
6558124,5
5759741,20
5189929,20
6596522,5
6253030,25
6780056,20
5189562,20
5189694,20
5189953,20
5189601,20
5830888,20
5190471,20
6542996,25
5190099,20
5190650,20
5190188,20
7054698,15
7054701,15
3110463,20
3103041,5
3245806,25
3103106,5
3132068,20
3279425,20
3245920,25
3295579,30
3300858,10
3382293,15
3248422,25
3382773,10
3383613,15
3387953,10
3132122,15
