parid,elev
3426924,25
3425375,15
3427017,25
3427025,20
3427319,5
3434226,5
3434234,5
3427327,5
3434447,10
3434242,5
3445589,30
3434251,5
3434269,5
3445694,45
3445597,35
3434277,5
3446194,35
3445830,45
3434285,5
3434293,5
3445945,35
3445708,50
3445953,35
3434307,5
3434315,5
3434323,5
3445961,35
3434331,5
3445970,35
3434340,10
3434358,5
3445716,40
3434366,5
3445988,35
3434374,5
3434382,5
3434391,5
3434404,5
3445996,35
3434412,5
3445724,30
3434421,10
3446003,35
3434439,10
3446011,35
3446208,35
3446020,35
3446224,35
3446038,35
3445732,30
3446232,35
3446241,35
3446259,35
3446267,35
3446046,35
3445741,30
3446054,35
3446275,35
3446062,30
3446283,35
3446071,30
3446291,35
3446089,30
3446097,30
3446305,30
3445759,30
3446313,30
3446101,30
3446119,35
3446127,35
3446321,30
3446330,30
3446348,30
3445767,30
3446356,30
3446364,30
3446135,35
3446372,30
3446381,30
3446143,35
3446399,35
3445775,35
3446402,35
3446151,35
3446411,35
3446160,35
3446429,35
3446178,35
3445783,40
3446437,35
3446186,35
3446445,35
3446488,35
3446453,35
3445791,40
3446461,35
3460758,20
3446496,35
3459598,15
3459601,5
3445805,40
3459610,15
3446500,35
3459636,20
3446518,35
3460189,15
3446526,35
3445813,40
3446534,35
3459644,15
3459652,5
3459679,20
3446542,35
3446551,35
3459687,5
3459695,20
3445821,40
3459709,20
3446569,35
3446577,30
3446585,30
3446593,30
3459717,5
3446607,30
3459733,5
3446615,30
3446470,35
3459741,20
3459920,15
3459946,10
3459768,15
3459776,15
3459954,10
3459962,10
3460197,5
3459784,10
3459792,10
3459971,10
3459806,10
3459989,10
3459814,10
3459822,10
3459997,10
3460201,15
3460006,10
3459831,5
3459857,10
3459865,10
3460014,10
3460022,10
3460031,10
3459873,10
3460219,15
3460049,10
3459881,10
3460057,10
3460065,10
3459890,10
3459903,5
3459911,15
3460456,10
3460073,10
3460227,5
3460081,10
3460090,5
3460464,10
3460103,10
3460111,10
3460120,5
3460138,10
3460472,10
3460235,15
3460146,5
3460481,10
3460499,10
3460502,10
3460511,10
3460154,10
3460529,10
3460243,5
3460162,5
3460537,10
3460545,10
3460553,10
3460561,10
3460171,5
3460766,20
3460774,20
3460251,15
3460570,10
3460782,20
3460791,20
3460588,10
3460596,10
3460600,10
3460804,20
3460812,20
3460260,15
3460821,20
3460626,10
3460839,20
3460847,20
3460855,20
3460634,10
3460642,10
3460651,10
3460871,20
3460278,5
3460880,20
3460898,20
3460669,20
3460901,20
3460910,20
3460928,20
3460936,25
3460677,15
3460286,5
3460944,25
3460952,20
3460961,20
3460685,20
3460693,20
3461011,20
3460707,20
3460294,5
3461029,15
3460723,20
3461037,5
3460740,20
3461053,5
3461070,10
3461045,10
3461274,15
3460316,10
3461088,10
3461282,15
3461096,5
3461100,10
3461291,15
3461304,15
3461126,20
3461134,20
3460324,10
3461151,5
3461312,15
3461169,5
3461321,15
3461177,5
3461339,15
3461185,5
3460332,10
3461347,15
3461355,15
3461193,5
3461371,15
3461207,5
3461380,10
3464583,5
3461215,5
3460341,10
3462432,20
3461223,5
3462441,20
3461231,10
3462386,20
3461240,15
3460359,10
3461258,15
3461266,15
3462394,20
3462424,20
3462459,20
3462602,10
3460367,10
3462491,20
3462611,10
3462505,15
3462513,15
3462521,10
3462629,20
3462530,10
3460375,10
3462548,10
3462637,20
3462556,10
3462564,20
3462572,20
3462645,10
3462581,10
3460383,10
3462599,10
3462718,10
3462882,10
3462661,10
3462670,10
3463668,10
3460391,10
3462726,20
3462688,10
3462696,10
3462734,20
3462742,20
3462700,10
3462891,10
3462751,20
3460405,10
3462904,10
3462769,10
3462912,10
3462777,10
3460413,15
3462921,10
3462785,10
3462939,10
3462947,10
3462955,10
3462793,10
3462807,10
3462963,10
3462971,10
3460421,10
3462823,10
3462980,10
3462998,10
3463005,10
3462831,10
3463013,10
3460430,10
3462840,10
3463021,10
3462858,10
3462866,10
3463030,10
3462874,20
3460448,10
3463048,10
3463081,10
3463056,10
3463099,10
3463307,5
3463064,10
3463072,10
3463111,10
3463676,10
3463684,10
3463692,5
3463706,5
3463315,5
3463137,10
3463145,10
3463714,5
3463722,5
3463731,5
3463153,10
3463323,5
3463749,5
3463757,5
3463161,10
3463170,10
3463196,10
3463765,5
3463331,5
3463773,10
3463200,10
3463218,10
3463226,10
3463234,10
3463781,10
3463790,10
3463242,10
3463251,5
3463340,5
3463803,10
3463269,5
3463277,5
3463811,10
3463820,15
3463285,5
3463838,15
3463293,5
3463960,5
3463358,5
3463978,5
3463986,5
3463994,10
3463846,15
3464001,10
3464010,10
3463854,10
3464028,10
3463862,10
3463366,5
3464036,10
3463871,10
3464044,15
3464052,10
3464109,10
3463889,10
3464117,10
3463374,5
3463897,10
3463901,10
3463919,10
3464125,10
3464133,10
3464141,10
3463927,5
3464150,10
3463935,5
3463382,10
3463943,5
3464168,10
3464176,10
3464184,10
3464567,10
3463951,5
3464575,10
3464273,15
3464591,5
3463391,10
3464605,5
3464613,5
3464621,5
3464281,10
3464630,10
3464656,10
3464672,10
3464290,10
3463404,10
3464681,10
3464303,10
3464699,10
3464311,10
3464702,5
3464346,10
3464711,5
3463412,20
3464354,10
3464729,10
3464362,10
3464737,10
3464745,10
3464371,10
3464389,10
3464753,10
3464397,10
3463421,20
3464761,5
3464770,5
3464788,5
3464401,10
3464419,5
3464427,5
3464435,10
3464443,10
3463447,20
3464796,5
3464451,10
3464460,10
3464800,5
3464818,5
3464478,10
3464486,10
3464494,5
3464508,5
3464826,5
3463455,20
3464834,5
3464923,5
3464931,5
3464516,5
3464524,10
3464940,10
3463471,20
3464958,10
3464532,10
3464966,10
3464541,5
3464559,10
3464974,10
3463561,25
3465211,5
3465466,5
3464982,10
3464991,10
3465474,5
3465008,10
3465016,5
3465024,5
3463595,25
3465482,5
3465032,10
3465041,10
3465059,10
3465491,5
3465504,5
3465512,5
3465067,10
3463625,15
3465521,5
3465075,10
3465539,5
3465547,5
3465083,10
3465091,10
3473205,5
3463633,15
3465105,10
3465113,10
3465121,10
3465130,10
3478584,5
3463641,15
3465148,10
3478592,5
3478606,5
3478657,10
3478665,5
3478673,5
3478614,5
3463650,10
3478622,5
3478631,10
3478649,10
3478681,10
3478908,10
3479173,10
3478690,10
3478916,10
3478703,10
3478924,10
